independent,unMember,capital_code,region_code,subregion_code,language_code,latitude,longitude,landlocked,area,population,borders_count,car_side_code,timezones_count,continents_code,startOfWeek_code
1,1,133,2,18,27,62.0,15.0,0,450295.0,10353442,2,1,1,2,1
1,1,134,1,6,7,8.5,-11.5,0,71740.0,7976985,2,1,1,1,1
1,1,135,2,19,75,40.0,-4.0,0,505992.0,47351567,5,1,2,2,1
1,1,136,5,13,10,9.0,-80.0,0,75417.0,4314768,2,1,1,6,1
1,1,137,6,16,76,1.36666666,103.8,0,710.0,5685807,0,2,1,7,1
1,1,138,6,16,77,18.0,105.0,1,236800.0,7275556,5,1,1,7,1
1,1,139,1,1,78,-13.5,34.0,1,118484.0,19129955,3,2,1,1,1
1,1,140,1,1,79,-3.5,30.0,1,27834.0,11890781,3,1,1,1,1
1,1,141,2,20,80,53.0,28.0,1,207600.0,9398861,5,1,1,2,1
0,0,142,5,12,7,19.3133,-81.2546,0,264.0,65720,0,2,1,6,1
1,1,143,6,16,81,2.5,112.5,0,330803.0,32365998,3,2,1,7,2
1,1,144,6,24,82,30.0,70.0,0,881912.0,220892331,4,2,1,7,1
1,1,145,5,8,83,-34.0,-64.0,0,2780400.0,45376763,5,1,1,5,1
1,1,146,1,2,8,-12.5,18.5,0,1246700.0,32866268,4,1,1,1,1
1,1,147,2,19,84,35.9375,14.3754,0,316.0,525285,0,2,1,2,1
0,0,148,5,12,85,12.5,-69.96666666,0,180.0,106766,0,1,1,6,1
1,1,149,5,8,83,-23.0,-58.0,1,406752.0,7132530,3,1,1,5,1
1,0,150,1,6,86,12.0,-15.0,0,36125.0,1967998,2,1,1,1,1
1,1,151,6,11,5,25.0,45.0,0,2149690.0,34813867,7,1,1,7,2
0,0,152,2,19,7,36.13333333,-5.35,0,6.0,33691,1,1,1,2,1
1,1,153,5,13,10,13.0,-85.0,0,130373.0,6624554,2,1,1,6,1
1,1,154,2,18,87,53.0,-8.0,0,70273.0,4994724,1,2,1,2,1
1,1,155,1,6,6,17.0,-4.0,1,1240192.0,20250834,7,1,1,1,1
1,1,156,5,13,10,10.0,-84.0,0,51100.0,5094114,2,1,1,6,1
0,0,157,1,1,7,-6.0,71.5,0,60.0,3000,0,1,1,7,1
1,1,158,6,21,88,46.0,105.0,1,1564110.0,3278292,2,1,2,7,1
0,0,159,5,8,6,4.0,-53.0,0,83534.0,254541,2,1,1,5,1
1,1,160,5,10,2,60.0,-95.0,0,9984670.0,38005238,1,1,6,6,2
0,0,161,3,23,89,-21.23333333,-159.76666666,0,236.0,18100,0,2,1,3,1
1,1,162,2,18,90,59.0,26.0,0,45227.0,1331057,2,1,1,2,1
1,1,163,5,12,7,10.6918,-61.2225,0,5130.0,1399491,0,2,1,6,1
0,0,164,3,25,7,-12.1642,96.871,0,14.0,544,0,2,1,7,1
1,1,165,1,1,91,-12.16666666,44.25,0,1862.0,869595,0,1,1,1,1
0,0,166,3,25,7,-10.5,105.66666666,0,135.0,2072,0,2,1,7,1
1,1,167,6,16,92,-8.83333333,125.91666666,0,14874.0,1318442,1,2,1,3,1
1,1,168,2,18,93,56.0,10.0,0,43094.0,5831404,1,1,5,2,1
1,1,169,2,3,94,41.83333333,22.0,1,25713.0,2077132,5,1,1,2,1
1,1,170,6,24,95,24.0,90.0,0,147570.0,164689383,2,2,1,7,2
1,1,171,1,1,96,-20.28333333,57.55,0,2040.0,1265740,0,2,1,1,1
1,1,172,2,19,97,35.0,33.0,0,9251.0,1207361,0,2,1,2,1
0,0,173,2,18,98,49.46666666,-2.58333333,0,78.0,62999,0,2,1,2,1
1,1,174,6,16,99,4.5,114.66666666,0,5765.0,437483,1,2,1,7,1
1,1,175,6,21,100,36.0,138.0,0,377930.0,125836021,0,2,1,7,1
1,1,176,6,11,101,40.5,47.5,1,86600.0,10110116,5,1,1,8,1
1,1,177,5,12,7,25.0343,-77.3963,0,13943.0,393248,0,2,1,6,1
1,1,178,2,18,102,57.0,25.0,0,64559.0,1901548,4,1,1,2,1
0,0,179,1,1,6,-12.83333333,45.16666666,0,374.0,226915,0,1,1,1,1
1,1,180,6,24,103,33.0,65.0,1,652230.0,40218234,6,1,1,7,1
1,1,181,6,17,104,41.0,75.0,1,199951.0,6591600,4,1,1,7,1
0,0,36,3,25,105,-29.03333333,167.95,0,36.0,2302,0,2,1,3,1
1,1,182,3,4,106,-16.0,167.0,0,12189.0,307150,0,1,1,3,1
1,1,183,6,11,5,24.0,54.0,0,83600.0,9890400,2,1,1,7,2
1,1,184,1,15,107,-29.5,28.5,1,30355.0,2142252,1,2,1,1,1
1,1,185,6,16,108,22.0,98.0,0,676578.0,54409794,5,1,1,7,1
1,1,186,2,18,7,54.0,-2.0,0,242900.0,67215293,1,2,9,2,1
1,1,187,2,18,109,62.0,10.0,0,323802.0,5379475,3,1,1,2,1
0,0,188,1,1,6,-21.15,55.5,0,2511.0,840974,0,1,1,1,1
1,1,189,6,21,46,37.0,127.5,0,100210.0,51780579,1,1,1,7,1
0,0,190,5,12,7,21.75,-71.58333333,0,948.0,38718,0,2,1,6,1
1,1,191,1,1,14,11.5,43.0,0,23200.0,988002,3,1,1,1,1
1,1,192,3,25,7,-27.0,133.0,0,7692024.0,25687041,0,2,8,3,1
1,1,193,3,22,110,9.0,168.0,0,181.0,59194,0,1,1,3,1
1,1,194,6,11,5,21.0,57.0,0,309500.0,5106622,3,1,1,7,2
1,1,195,6,24,111,28.0,84.0,1,147181.0,29136808,2,2,1,7,2
0,0,196,3,23,112,-19.03333333,-169.86666666,0,260.0,1470,0,2,1,3,1
1,1,197,1,6,6,8.0,1.16666666,0,56785.0,8278737,3,1,1,1,1
1,1,198,1,2,113,-1.0,15.0,0,342000.0,5657000,5,1,1,1,1
1,1,199,1,1,114,-20.0,47.0,0,587041.0,27691019,0,1,1,1,1
1,1,200,2,19,115,43.76666666,12.41666666,1,61.0,33938,1,1,1,2,1
1,1,201,2,18,116,56.0,24.0,0,65300.0,2794700,4,1,1,2,1
1,1,202,6,24,117,27.5,90.5,1,38394.0,771612,2,2,1,7,1
1,1,203,1,6,6,8.0,-5.0,0,322463.0,26378275,5,1,1,1,1
1,1,204,5,12,7,17.33333333,-62.75,0,261.0,53192,0,2,1,6,1
1,1,205,2,9,118,47.0,8.0,1,41284.0,8654622,5,1,1,2,1
0,0,206,2,18,119,54.25,-4.5,0,572.0,85032,0,2,1,2,1
1,1,207,2,9,6,43.73333333,7.4,0,2.02,39244,1,1,1,2,1
1,1,208,1,6,7,8.0,-2.0,0,238533.0,31072945,3,1,1,1,1
1,0,209,2,3,120,42.666667,21.166667,1,10908.0,1775378,4,1,1,2,1
1,1,210,1,1,121,-4.58333333,55.66666666,0,452.0,98462,0,2,1,1,1
1,1,211,5,12,7,12.11666666,-61.66666666,0,344.0,112519,0,2,1,6,1
1,1,212,1,6,5,20.0,-12.0,0,1030700.0,4649660,4,1,1,1,1
1,1,213,3,25,122,-41.0,174.0,0,270467.0,5084300,0,2,5,3,1
1,1,214,1,6,6,11.0,-10.0,0,245857.0,13132792,6,1,1,1,1
1,1,215,3,23,123,-20.0,-175.0,0,747.0,105697,0,2,1,3,1
1,1,216,2,19,124,42.83333333,12.83333333,0,301336.0,59554023,6,1,1,2,1
1,1,217,2,3,125,41.0,20.0,0,28748.0,2837743,4,1,1,2,1
1,1,218,5,8,126,-17.0,-65.0,1,1098581.0,11673029,5,1,1,5,1
